t,L_fro
12.05,24.7192
12.06,24.7224
12.07,24.7256
12.08,24.729
12.09,24.7323
12.1,24.7358
12.11,24.7393
12.12,24.7429
12.13,24.7465
12.14,24.7502
12.15,24.754
12.16,24.7578
12.17,24.7617
12.18,24.7657
12.19,24.7697
12.2,24.7738
12.21,24.7779
12.22,24.7821
12.23,24.7864
12.24,24.7907
12.25,24.7951
12.26,24.7995
12.27,24.804
12.28,24.8086
12.29,24.8132
12.3,24.8178
12.31,24.8226
12.32,24.8273
12.33,24.8321
12.34,24.837
12.35,24.8419
12.36,24.8469
12.37,24.8519
12.38,24.8569
12.39,24.862
12.4,24.8671
12.41,24.8723
12.42,24.8775
12.43,24.8827
12.44,24.888
12.45,24.8933
12.46,24.8986
12.47,24.9039
12.48,24.9092
12.49,24.9146
12.5,24.92
12.51,24.9254
12.52,24.9308
12.53,24.9362
12.54,24.9416
12.55,24.947
12.56,24.9524
12.57,24.9578
12.58,24.9633
12.59,24.9686
12.6,24.974
12.61,24.9794
12.62,24.9847
12.63,24.9901
12.64,24.9954
12.65,25.0006
12.66,25.0059
12.67,25.0111
12.68,25.0163
12.69,25.0214
12.7,25.0266
12.71,25.0316
12.72,25.0367
12.73,25.0417
12.74,25.0466
12.75,25.0515
12.76,25.0563
12.77,25.0611
12.78,25.0659
12.79,25.0706
12.8,25.0752
12.81,25.0798
12.82,25.0843
12.83,25.0888
12.84,25.0932
12.85,25.0975
12.86,25.1018
12.87,25.1061
12.88,25.1102
12.89,25.1144
12.9,25.1184
12.91,25.1224
12.92,25.1264
12.93,25.1302
12.94,25.134
12.95,25.1378
12.96,25.1415
12.97,25.1451
12.98,25.1487
12.99,25.1522
13,25.1557
13.01,25.1591
13.02,25.1625
13.03,25.1658
13.04,25.169
13.05,25.1722
13.06,25.1754
13.07,25.1785
13.08,25.1815
13.09,25.1845
13.1,25.1875
13.11,25.1904
13.12,25.1932
13.13,25.196
13.14,25.1988
13.15,25.2015
13.16,25.2042
13.17,25.2068
13.18,25.2094
13.19,25.212
13.2,25.2145
13.21,25.2169
13.22,25.2194
13.23,25.2218
13.24,25.2241
13.25,25.2265
13.26,25.2287
13.27,25.231
13.28,25.2332
13.29,25.2354
13.3,25.2375
13.31,25.2396
13.32,25.2417
13.33,25.2437
13.34,25.2457
13.35,25.2477
13.36,25.2496
13.37,25.2515
13.38,25.2534
13.39,25.2552
13.4,25.257
13.41,25.2587
13.42,25.2604
13.43,25.2621
13.44,25.2637
13.45,25.2653
13.46,25.2668
13.47,25.2683
13.48,25.2698
13.49,25.2712
13.5,25.2726
13.51,25.274
13.52,25.2753
13.53,25.2765
13.54,25.2777
13.55,25.2789
13.56,25.28
13.57,25.2811
13.58,25.2821
13.59,25.2831
13.6,25.284
13.61,25.2849
13.62,25.2857
13.63,25.2865
13.64,25.2872
13.65,25.2879
13.66,25.2885
13.67,25.2891
13.68,25.2896
13.69,25.29
13.7,25.2904
13.71,25.2908
13.72,25.2911
13.73,25.2913
13.74,25.2914
13.75,25.2915
13.76,25.2916
13.77,25.2916
13.78,25.2915
13.79,25.2913
13.8,25.2911
13.81,25.2909
13.82,25.2905
13.83,25.2901
13.84,25.2897
13.85,25.2891
13.86,25.2885
13.87,25.2878
13.88,25.2871
13.89,25.2863
13.9,25.2854
13.91,25.2845
13.92,25.2834
13.93,25.2823
13.94,25.2812
13.95,25.2799
13.96,25.2786
13.97,25.2772
13.98,25.2757
13.99,25.2741
14,25.2725
14.01,25.2708
14.02,25.269
14.03,25.2671
14.04,25.2652
14.05,25.2631
14.06,25.261
14.07,25.2588
14.08,25.2565
14.09,25.2542
14.1,25.2517
14.11,25.2492
14.12,25.2465
14.13,25.2438
14.14,25.241
14.15,25.2381
14.16,25.2351
14.17,25.232
14.18,25.2289
14.19,25.2256
14.2,25.2223
14.21,25.2188
14.22,25.2153
14.23,25.2116
14.24,25.2079
14.25,25.2041
14.26,25.2002
14.27,25.1962
14.28,25.1921
14.29,25.1878
14.3,25.1836
14.31,25.1792
14.32,25.1747
14.33,25.1701
14.34,25.1654
14.35,25.1606
14.36,25.1558
14.37,25.1508
14.38,25.1457
14.39,25.1406
14.4,25.1353
14.41,25.13
14.42,25.1246
14.43,25.119
14.44,25.1134
14.45,25.1077
14.46,25.102
14.47,25.0961
14.48,25.0901
14.49,25.0841
14.5,25.078
14.51,25.0718
14.52,25.0655
14.53,25.0591
14.54,25.0527
14.55,25.0462
14.56,25.0396
14.57,25.033
14.58,25.0262
14.59,25.0194
14.6,25.0126
14.61,25.0057
14.62,24.9987
14.63,24.9916
14.64,24.9845
14.65,24.9774
14.66,24.9702
14.67,24.9629
14.68,24.9556
14.69,24.9482
14.7,24.9408
14.71,24.9334
14.72,24.9258
14.73,24.9183
14.74,24.9107
14.75,24.9031
14.76,24.8954
14.77,24.8878
14.78,24.88
14.79,24.8723
14.8,24.8645
14.81,24.8567
14.82,24.8488
14.83,24.841
14.84,24.8331
14.85,24.8252
14.86,24.8172
14.87,24.8093
14.88,24.8013
14.89,24.7933
14.9,24.7853
14.91,24.7773
14.92,24.7693
14.93,24.7612
14.94,24.7531
14.95,24.7451
14.96,24.737
14.97,24.7289
14.98,24.7208
14.99,24.7127
15,24.7046
15.01,24.6965
15.02,24.6884
15.03,24.6803
15.04,24.6722
15.05,24.664
15.06,24.6559
15.07,24.6478
15.08,24.6397
15.09,24.6316
15.1,24.6235
15.11,24.6154
15.12,24.6073
15.13,24.5992
15.14,24.5911
15.15,24.583
15.16,24.5749
15.17,24.5668
15.18,24.5588
15.19,24.5507
15.2,24.5427
15.21,24.5347
15.22,24.5267
15.23,24.5187
15.24,24.5107
15.25,24.5027
15.26,24.4948
15.27,24.4869
15.28,24.479
15.29,24.4711
15.3,24.4632
15.31,24.4553
15.32,24.4475
15.33,24.4397
15.34,24.432
15.35,24.4242
15.36,24.4165
15.37,24.4088
15.38,24.4011
15.39,24.3935
15.4,24.3859
15.41,24.3784
15.42,24.3708
15.43,24.3633
15.44,24.3559
15.45,24.3485
15.46,24.3411
15.47,24.3337
15.48,24.3265
15.49,24.3192
15.5,24.312
15.51,24.3048
15.52,24.2977
15.53,24.2907
15.54,24.2836
15.55,24.2767
15.56,24.2698
15.57,24.2629
15.58,24.2561
15.59,24.2494
15.6,24.2427
15.61,24.2361
15.62,24.2295
15.63,24.223
15.64,24.2165
15.65,24.2102
15.66,24.2038
15.67,24.1976
15.68,24.1914
15.69,24.1853
